date,author,title,tags
16-Oct-20,Mohini Kalamkar,5 Steps to Converting Python Jobs to PySpark,Pyspark
6-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3: Snowflake Healthcheck,Snowflake
21-Sep-20,Sam Kohlleffel,How We Automated Snowflake Data Profiler,Snowflake
24-Aug-20,Randy Pitcher,Your Mega Guide to the 3 Stages of Netezza to Snowflake Migrations,Data
13-Aug-20,Yu Fai Wong,dbt Orchestration in Azure DevOps Pipelines,Azure Devops
30-Jun-20,Venkat Sekar,Unit Testing on dbt Models Using a Static Test Dataset in Snowflake,Dbt
12-Jun-20,Luke Kline,7 Core Tenets to Know Before You Develop Data & Analytics Products,Data Warehouse
28-Apr-20,Venkat Sekar,Housekeeping in Snowflake with SQL and DBT,Snowflake
21-Apr-20,Venkat Sekar,Data Materialization in Snowflake Using Confluent Kafka Connect: Part 2,Snowflake
20-Mar-20,Venkat Sekar,3 Steps to Find Access Patterns in Snowflake Using Hierarchical Queries,Cloud Computing
13-Feb-20,Venkat Sekar,How to Query Snowflake Using Azure Functions with Node.js,Data
30-Jan-20,John Aven,Snowflake Solution Anti-Patterns: Spark is My Hammer,Cloud Computing
28-Jan-20,Kelly Kohlleffel,3 Best Practices for On-Prem to Snowflake,Cloud Computing
7-Jan-20,John Aven,Deploying Machine Learning Solutions,Data Science
6-Jan-20,Chinmayee Lakkad,Schema Unification with Snowflake,Snowflake
27-Sep-21,Hashmap,"Perspectives on Data Value and Data Catalogs with Castor Co-Founder & CEO, Tristan Mayer",Data Catalogs
25-Aug-21,Hashmap,Delivering an AI-Driven Approach to Analytics with Cindi Howson of ThoughtSpot,Business Intelligence
5-Aug-21,Archit Pandita,Optimizing ADF Pipelines for Data Ingestion,Azure
23-Jul-21,Hashmap,Improving Snowflake Data Quality with SnowDQ,Snowflake
16-Jul-21,Hashmap,SqlDBM: No Code Data Modeling for Cloud Data Warehouses with Anna Abramova,Data
7-Jul-21,Hashmap,Answers to 5 Common Snowflake Questions,Snowflake
23-Jun-21,Hashmap,5 Compelling Snowflake Customer Metrics That You Need to Know,Snowflake
21-Jun-21,Venkat Sekar,Performing Data Quality Checks in Snowflake Part 1,Data Quality
16-Jun-21,Hashmap,Hashmap Wins Snowflake's Ski Lift Content Competition for the 2nd Straight Year,Snowflake
1-Jun-21,Hashmap,"The Origins and Future of Fivetran with George Fraser
Hashmap on Tap, Ep. 74",Fivetran
24-May-21,Hashmap,We're Excited for Snowflake Summit 2021 Here's Why,Snowflake
14-May-21,Hashmap,Digging into Data Governance and Data Modeling,Data Governance
3-May-21,Shekhar Parnerkar,A Quick Start Guide to Change Data Capture with Debezium,Debezium
17-Mar-21,David Hrncir and Chinmayee Lakkad,Extracting Facebook Insights via Fivetran and Snowflake,Snowflake
4-Feb-21,Jhimli Bora,Understanding Great Expectations and How to Use It,Data
29-Jan-21,Venkat Sekar,Cataloging Metadata in Snowflake,Data Catalog
26-Jan-21,Jhimli Bora,Data Science for Executives,Machine Learning
19-Jan-21,Scottie Bryan,Strategy and the Cloud Access to Data,Data
13-Jan-21,Scottie Bryan,"Strategy and the Cloud Delegate, Delegate, Delegate",Data Strategy
12-Jan-21,Scottie Bryan,Strategy and the Cloud Think Strategic,Cloud Computing
8-Jan-21,John Aven & Jhimli Bora,Introducing Hashmap Data Migrator,Data Engineering
21-Dec-20,Archit Pandita,What's New with Airflow 2.0,Airflow
4-Dec-20,John Aven,"Exploring DevOps Options
Working with GitLab",Gitlab Ci
23-Nov-20,Sam Kohlleffel,Creating Reusable CI/CD Pipelines with GitLab,Ci Cd Pipeline
18-Nov-20,Venkat Sekar,Verifying Deployment Using Terraform State Files,Terraform
28-Oct-20,John Aven,Building ML Pipelines,Mlops
8-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3 (Part 3): Snowflake Healthcheck,React
5-Oct-20,Randy Pitcher,Supercharge Your Snowflake Billing Statement with Custom User Metrics,Snowflake
10-Sep-20,Laurent Weichberger and Shubham Nikam,Hortonworks Data Platform 2.6.5 In-Place Upgrade to Cloudera Data Platform 7,Hdp
18-Aug-20,Sam Kohlleffel,How to Get a Snowflake Data Quality Assessment in 60 Seconds,Snowflake
4-Aug-20,Senthil Anandarangan & Ganesh Hegde,How to Connect S3 Data to Looker using Starburst Presto,Starburst
23-Jun-20,Venkat Sekar,Deploying and Running dbt on AWS Fargate,AWS
