date,author,title,tag1,tag2,tag3,tag4,tag5
9-Aug-21,Venkat Sekar,Cataloging Metadata in Snowflake with SnowCAT,Snowflake,Snowcat,Data Catalog,Cloud Computing,Data Discovery
28-Jul-21,Chinmayee Lakkad,Why You Should Use Snowflake's External Tables,Snowflake,Data,Cloud Computing,Data Lake,Snowflake Data Cloud
19-Jul-21,Hashmap,Behind the Scenes of Our 2021 Cloud Data Platform Benchmarking & Analysis,Data Migration,Cloud Computing,Data Warehouse,Cloud Data Warehouse,Snowflake
9-Jul-21,Venkat Sekar,Using AWS SAM to Develop Snowflake External Functions,Snowflake,AWS Lambda,AWS,Aws Api Gateway,Aws Sam
24-Jun-21,Hashmap,5 Compelling Snowflake Customer Metrics That You Need to Know,Snowflake,Cloud Computing,Cloud,Data,Cloud Migration
22-Jun-21,Venkat Sekar,Performing Data Quality Checks in Snowflake Part 2,Data Quality,Data Monitoring,Snowflake,Snowdq,Data
16-Jun-21,Hashmap,Everything You Missed at Snowflake Summit 2021,Snowflake,Analytics,Data,Data Engineering,Cloud Computing
9-Jun-21,George Luft,Bring Your Code to the Snowflake Data Cloud with Snowpark,Snowflake Data Cloud,Snowpark,Snowflake,Cloud,Cloud Computing
26-May-21,Venkat Sekar,How to Perform a UNION Operation in Snowflake on Tables with Mismatched Columns,Snowflake,Data,Data Modeling,Cloud Computing,Cloud
19-May-21,Hashmap,Change Data Capture & Hashmap Data Cataloger (hdc),Hdc,Change Data Capture,Cloud Computing,Cloud Migration,Data Migration
10-May-21,Chinmayee Lakkad,How We Use Hashmap Data Cataloger (hdc) in Cloud Data Migrations: Part 1,Cloud Computing,Data Migration,Data Engineering,Python,Data
29-Mar-21,Archit Pandita,How to Build and Deploy Docker Images on GKE (Google Kubernetes Engine)' Part 1,Kubernetes,Gke,Docker,Gcp,DevOps
5-Feb-21,Scottie Bryan,How Cost Management Can Tank Your Cloud Migration,null,null,null,null,null
2-Feb-21,Archit Pandita,Exploring Builder and Factory Design Patterns,Python,Design Patterns,Yaml,Development,Data
27-Jan-21,Laurent Weichberger,HDP 3 (AWS) Cluster Migration to CDP Public Cloud on MS Azure,Cloudera,Cdp,Migration,Data,Cloud Computing
25-Jan-21,Archit Pandita,Getting Started with Snowflake Using Python,Python,Snowflake,AWS,Automation,Cloud Computing
15-Jan-21,Sam Kohlleffel,Cloudy Warehouses Simplifying Snowflake & pandas DataFrames Interaction,Snowflake,Pandas,Dataframes,Snowflake Connector,Cloud Computing
12-Jan-21,Sergey Gershkovich & Kelly Kohlleffel,Transitioning from SAP BW to Snowflake,Sap,Snowflake,Migration,Cloud Computing,Data
8-Jan-21,Preetpal Singh,Migrating from Oracle Exadata by Modernizing with Snowflake,Oracle,Snowflake,Cloud Computing,Data,Snowflake Data Cloud
4-Jan-21,The Hashmap Team,"A New Journey Starts for Hashmap, an NTT DATA Company",Data,Cloud Computing,Machine Learning,Acquisition,Growth
11-Dec-20,The Hashmap Team,NTT DATA Services Announces Intent to Acquire Hashmap,Data,Cloud Computing,Acquisition,Growth,Machine Learning
3-Dec-20,Mohini Kalamkar,How to Put the Azure Data Factory (ADF) Snowflake Connector to Use,Azure Data Factory,Snowflake,Matillion,Azure,Cloud Computing
19-Nov-20,John Aven,"Building ML Pipelines
What is a DAG?",Airflow,Prefect,Machine Learning,Data Science,Directed Acyclic Graph
5-Nov-20,John Aven,Why I Love MLflow,Mlops,Mlflow,Data Science,DevOps,Machine Learning
16-Oct-20,Mohini Kalamkar,5 Steps to Converting Python Jobs to PySpark,Pyspark,Pandas,Python,Koalas,Spark
6-Oct-20,Sam Kohlleffel,Automating a React App Hosted on AWS S3: Snowflake Healthcheck,Snowflake,Data,Cloud Computing,AWS,Snowflake Healthcheck
21-Sep-20,Sam Kohlleffel,How We Automated Snowflake Data Profiler,Snowflake,Snowflake Data Profiler,Automation,Data,Cloud Computing
24-Aug-20,Randy Pitcher,Your Mega Guide to the 3 Stages of Netezza to Snowflake Migrations,Data,Cloud Computing,Snowflake,Netezza To Snowflake,Cloud Data Warehousing
13-Aug-20,Yu Fai Wong,dbt Orchestration in Azure DevOps Pipelines,Azure Devops,Cloud Computing,Azure Pipelines,Dbt,Data
30-Jun-20,Venkat Sekar,Unit Testing on dbt Models Using a Static Test Dataset in Snowflake,Dbt,Snowflake,Data,Cloud,Open Source
12-Jun-20,Luke Kline,7 Core Tenets to Know Before You Develop Data & Analytics Products,Data Warehouse,Data,Technology,Simplicity,Cloud Computing
28-Apr-20,Venkat Sekar,Housekeeping in Snowflake with SQL and DBT,Snowflake,Dbt,Cloud Computing,Data,Data Warehouse
21-Apr-20,Venkat Sekar,Data Materialization in Snowflake Using Confluent Kafka Connect: Part 2,Snowflake,Cloud Computing,Kafka,Open Source,Data
20-Mar-20,Venkat Sekar,3 Steps to Find Access Patterns in Snowflake Using Hierarchical Queries,Cloud Computing,Snowflake,Snowflake Computing,Data,Cloud
13-Feb-20,Venkat Sekar,How to Query Snowflake Using Azure Functions with Node.js,Data,Cloud Computing,Snowflake,Functions As A Service,Nodejs
30-Jan-20,John Aven,Snowflake Solution Anti-Patterns: Spark is My Hammer,Cloud Computing,Data,Snowflake,Spark,Antipattern
28-Jan-20,Kelly Kohlleffel,3 Best Practices for On-Prem to Snowflake,Cloud Computing,Cloud,Data,Snowflake,Modernizing
7-Jan-20,John Aven,Deploying Machine Learning Solutions,Data Science,Machine Learning,DevOps,Data Engineering,Mlops
6-Jan-20,Chinmayee Lakkad,Schema Unification with Snowflake,Snowflake,Dbt,Data Engineering,Cloud Computing,Data
27-Sep-21,Hashmap,"Perspectives on Data Value and Data Catalogs with Castor Co-Founder & CEO, Tristan Mayer",Data Catalogs,Data,Cloud Computing,Data Discovery,Castor
25-Aug-21,Hashmap,Delivering an AI-Driven Approach to Analytics with Cindi Howson of ThoughtSpot,Business Intelligence,Analytics,Cloud Computing,Data,AI
5-Aug-21,Archit Pandita,Optimizing ADF Pipelines for Data Ingestion,Azure,Azure Data Factory,Data,Cloud Computing,Data Pipeline
23-Jul-21,Hashmap,Improving Snowflake Data Quality with SnowDQ,Snowflake,Data Quality,Cloud Computing,Snowdq,Data
16-Jul-21,Hashmap,SqlDBM: No Code Data Modeling for Cloud Data Warehouses with Anna Abramova,Data,Cloud Computing,Data Modeling,No Code,Snowflake
